date,company,ticker,cusip,change,new_shares
2/23/2021,TELADOC HEALTH INC,TDOC,87918A105,770.0,253175.00
2/23/2021,MEITUAN-CLASS B,3690,BGJW376,7000.0,2380182.00
2/23/2021,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,260.0,85319.00
2/23/2021,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,4255.0,1395345.00
2/23/2021,DISCOVERY LTD,DSY,6177878,403054.0,5289051.00
2/23/2021,DOCUSIGN INC,DOCU,256163106,1265.0,414909.00
2/23/2021,YEAHKA LTD,9923,BL58D39,32000.0,10585600.00
2/23/2021,WORKDAY INC-CLASS A,WDAY,98138H101,1035.0,339074.00
2/23/2021,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,49000.0,16058845.00
2/23/2021,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,1500.0,464763.00
2/23/2021,SCHWAB (CHARLES) CORP,SCHW,808513105,3020.0,990384.00
2/23/2021,APPLE INC,AAPL,037833100,2135.0,699948.00
2/23/2021,VERISK ANALYTICS INC,VRSK,92345Y106,480.0,157736.00
2/23/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,6760.0,2217677.00
2/23/2021,AMAZON.COM INC,AMZN,023135106,100.0,32946.00
2/23/2021,PINDUODUO INC-ADR,PDD,722304102,775.0,254025.00
2/23/2021,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,1355.0,444143.00
2/23/2021,TWILIO INC - A,TWLO,90138F102,935.0,306267.00
2/23/2021,Z HOLDINGS CORP,4689,6084848,45500.0,14950830.00
2/23/2021,BILL.COM HOLDINGS INC,BILL,090043100,440.0,144659.00
2/23/2021,BASE INC,4477,BKRQ8Q2,1500.0,473800.00
2/23/2021,SQUARE INC - A,SQ,852234103,5470.0,1795529.00
2/23/2021,SNAP INC - A,SNAP,83304A106,5965.0,1956250.00
2/23/2021,MERCADOLIBRE INC,MELI,58733R102,270.0,88823.00
2/23/2021,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,9500.0,3127300.00
2/23/2021,NVIDIA CORP,NVDA,67066G104,250.0,82100.00
2/23/2021,KE HOLDINGS INC,BEKE,482497104,2680.0,879756.00
2/23/2021,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,1575.0,516198.00
2/23/2021,SEA LTD-ADR,SE,81141R100,1960.0,643991.00
2/23/2021,MARKETAXESS HOLDINGS INC,MKTX,57060D108,105.0,34401.00
2/23/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,360.0,118413.00
2/23/2021,FACEBOOK INC-CLASS A,FB,30303M102,71345.0,446639.00
2/23/2021,ADYEN NV,ADYEN,BZ1HM42,185.0,60081.00
2/23/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,2655.0,871688.00
2/23/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,4635.0,1520411.00
2/23/2021,HDFC BANK LTD-ADR,HDB,40415F101,1730.0,566923.00
2/23/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,1250.0,409845.00
2/23/2021,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,3905.0,1282164.00
2/23/2021,INTUIT INC,INTU,461202103,630.0,207150.00
2/23/2021,PINTEREST INC- CLASS A,PINS,72352L106,6670.0,2188411.00
2/23/2021,JD.COM INC-ADR,JD,47215P106,2130.0,698497.00
2/23/2021,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,359815.0,4062016.00
2/23/2021,DRAFTKINGS INC - CL A,DKNG,26142R104,1170.0,383486.00
2/23/2021,ZILLOW GROUP INC - C,Z,98954M200,4190.0,1375607.00
