date,company,ticker,cusip,change,new_shares
2/18/2021,TESLA INC,TSLA,88160R101,12753.0,1010437.00
2/18/2021,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,110682.0,8769790.00
2/18/2021,SQUARE INC - A,SQ,852234103,18616.0,1475096.00
2/18/2021,TELADOC HEALTH INC,TDOC,87918A105,16848.0,1335122.00
2/18/2021,ROKU INC,ROKU,77543R102,9737.0,771377.00
2/18/2021,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,11310.0,895646.00
2/18/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,2691.0,213452.00
2/18/2021,AGORA INC-ADR,API,00851L103,31551.0,2500275.00
2/18/2021,NETFLIX INC,NFLX,64110L106,4940.0,391938.00
2/18/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,8801.0,697782.00
2/18/2021,TWITTER INC,TWTR,90184L102,35217.0,2790341.00
2/18/2021,TWILIO INC - A,TWLO,90138F102,5551.0,439826.00
2/18/2021,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,78858.0,6247911.00
2/18/2021,ZILLOW GROUP INC - C,Z,98954M200,13260.0,1050715.00
2/18/2021,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,5499.0,435852.00
2/18/2021,NVIDIA CORP,NVDA,67066G104,3757.0,297837.00
2/18/2021,FACEBOOK INC-CLASS A,FB,30303M102,8281.0,655972.00
2/18/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,19370.0,1534383.00
2/18/2021,BAIDU INC - SPON ADR,BIDU,056752108,6773.0,536305.00
2/18/2021,SEA LTD-ADR,SE,81141R100,7475.0,592451.00
2/18/2021,DOCUSIGN INC,DOCU,256163106,7228.0,572407.00
2/18/2021,SNAP INC - A,SNAP,83304A106,28548.0,2262045.00
2/18/2021,UNITY SOFTWARE INC,U,91332U101,13949.0,1105308.00
2/18/2021,FASTLY INC - CLASS A,FSLY,31188V100,19916.0,1577523.00
2/18/2021,KE HOLDINGS INC,BEKE,482497104,24765.0,1962037.00
2/18/2021,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,5148.0,407744.00
2/18/2021,SALESFORCE.COM INC,CRM,79466L302,5473.0,433353.00
2/18/2021,HUBSPOT INC,HUBS,443573100,2587.0,204940.00
2/18/2021,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,52208.0,4136461.00
2/18/2021,ADYEN NV-UNSPON ADR,ADYEY,00783V104,24869.0,1970358.00
2/18/2021,PINTEREST INC- CLASS A,PINS,72352L106,15392.0,1219878.00
2/18/2021,PELOTON INTERACTIVE INC-A,PTON,70614W100,9503.0,753235.00
2/18/2021,JD.COM INC-ADR,JD,47215P106,11973.0,948729.00
2/18/2021,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,15626.0,1238130.00
2/18/2021,TRADE DESK INC/THE -CLASS A,TTD,88339J105,1469.0,116613.00
2/18/2021,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,8021.0,635117.00
2/18/2021,MERCADOLIBRE INC,MELI,58733R102,650.0,51197.00
2/18/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,8801.0,697166.00
2/18/2021,ADOBE INC,ADBE,00724F101,2405.0,190429.00
2/18/2021,DRAFTKINGS INC - CL A,DKNG,26142R104,18954.0,1501862.00
2/18/2021,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,4641.0,367672.00
2/18/2021,SYNOPSYS INC,SNPS,871607107,4043.0,320625.00
2/18/2021,CLOUDFLARE INC - CLASS A,NET,18915M107,13091.0,1037104.00
2/18/2021,NANO DIMENSION LTD - ADR,NNDM,63008G203,78286.0,6202586.00
2/18/2021,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,3965.0,313886.00
2/18/2021,APPLE INC,AAPL,037833100,7631.0,604800.00
2/18/2021,OKTA INC,OKTA,679295105,3302.0,261589.00
2/18/2021,SKILLZ INC,SKLZ,83067L109,19526.0,1546282.00
2/18/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,2562063.2200000025,28710446.01
