date,company,ticker,cusip,change,new_shares
2/19/2021,TESLA INC,TSLA,88160R101,122204.0,3225943.00
2/19/2021,ROKU INC,ROKU,77543R102,48236.0,4181063.00
2/19/2021,SQUARE INC - A,SQ,852234103,79004.0,5354944.00
2/19/2021,TELADOC HEALTH INC,TDOC,87918A105,75916.0,5050555.00
2/19/2021,BAIDU INC - SPON ADR,BIDU,056752108,51244.0,3052492.00
2/19/2021,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,32040.0,2637090.00
2/19/2021,ZILLOW GROUP INC - C,Z,98954M200,72892.0,5275163.00
2/19/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,7716.0,543378.00
2/19/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,67623.0,2204350.00
2/19/2021,EXACT SCIENCES CORP,EXAS,30063P105,161389.0,4270085.00
2/19/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,110312.0,6339216.00
2/19/2021,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,17132.0,1426553.00
2/19/2021,TWILIO INC - A,TWLO,90138F102,19406.0,1394668.00
2/19/2021,DOCUSIGN INC,DOCU,256163106,28686.0,2117125.00
2/19/2021,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,153632.0,11229923.00
2/19/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,63628.0,3658644.00
2/19/2021,UNITY SOFTWARE INC,U,91332U101,240253.0,3906116.00
2/19/2021,KE HOLDINGS INC,BEKE,482497104,80644.0,6053418.00
2/19/2021,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,97348.0,4831706.00
2/19/2021,SEA LTD-ADR,SE,81141R100,23002.0,1403741.00
2/19/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,55498.0,3377714.00
2/19/2021,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,128200.0,7340297.00
2/19/2021,10X GENOMICS INC-CLASS A,TXG,88025U109,49420.0,1712784.00
2/19/2021,REGENERON PHARMACEUTICALS,REGN,75886F107,10724.0,594469.00
2/19/2021,PACCAR INC,PCAR,693718108,40800.0,2877441.00
2/19/2021,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,52769.0,3111768.00
2/19/2021,SYNOPSYS INC,SNPS,871607107,18824.0,960602.00
2/19/2021,TERADYNE INC,TER,880770102,37420.0,1107553.00
2/19/2021,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,73784.0,5332420.00
2/19/2021,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,25611.0,1850870.00
2/19/2021,SNAP INC - A,SNAP,83304A106,50872.0,2346336.00
2/19/2021,PINTEREST INC- CLASS A,PINS,72352L106,41136.0,1637634.00
2/19/2021,FATE THERAPEUTICS INC,FATE,31189P102,28591.0,1179469.00
2/19/2021,BEAM THERAPEUTICS INC,BEAM,07373V105,31307.0,557639.00
2/19/2021,JD.COM INC-ADR,JD,47215P106,50808.0,1787546.00
2/19/2021,DEERE & CO,DE,244199105,12960.0,562999.00
2/19/2021,TRIMBLE INC,TRMB,896239100,57580.0,2501055.00
2/19/2021,KRATOS DEFENSE & SECURITY,KTOS,50077B207,117220.0,5092493.00
2/19/2021,ALPHABET INC-CL C,GOOG,02079K107,1660.0,72020.00
2/19/2021,NXP SEMICONDUCTORS NV,NXPI,N6596X109,15880.0,689955.00
2/19/2021,KOMATSU LTD -SPONS ADR,KMTUY,500458401,137084.0,3945202.00
2/19/2021,CATERPILLAR INC,CAT,149123101,11920.0,517927.00
2/19/2021,NANO DIMENSION LTD - ADR,NNDM,63008G203,197308.0,7524877.00
2/19/2021,NVIDIA CORP,NVDA,67066G104,5836.0,172551.00
2/19/2021,LOCKHEED MARTIN CORP,LMT,539830109,6780.0,294866.00
2/19/2021,TELEDYNE TECHNOLOGIES INC,TDY,879360105,11080.0,231213.00
2/19/2021,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,20223.0,1448574.00
2/19/2021,WORKHORSE GROUP INC,WKHS,98138J206,60320.0,2620207.00
2/19/2021,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,37020.0,1608522.00
2/19/2021,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,39820.0,1729627.00
2/19/2021,INTUITIVE SURGICAL INC,ISRG,46120E602,2000.0,86502.00
2/19/2021,MAGNA INTERNATIONAL INC,MGA,559222401,17840.0,774904.00
2/19/2021,ANSYS INC,ANSS,03662Q105,2860.0,124297.00
2/19/2021,RAVEN INDUSTRIES INC,RAVN,754212108,33111.0,1187588.00
2/19/2021,AMAZON.COM INC,AMZN,023135106,600.0,14132.00
2/19/2021,FLIR SYSTEMS INC,FLIR,302445101,18400.0,799153.00
2/19/2021,XILINX INC,XLNX,983919101,7360.0,319758.00
2/19/2021,ROCKWELL AUTOMATION INC,ROK,773903109,4020.0,174373.00
2/19/2021,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,9594.0,156499.00
2/19/2021,ELBIT SYSTEMS LTD,ESLT,M3760D101,6460.0,280694.00
2/19/2021,APPLE INC,AAPL,037833100,14966.0,288490.00
2/19/2021,AUTODESK INC,ADSK,052769106,2480.0,107876.00
2/19/2021,EXPERIENCE INVESTMENT CORP-A,EXPC,30217C109,154453.0,1694846.00
2/19/2021,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,8880.0,385894.00
2/19/2021,VUZIX CORP,VUZI,92921W300,292091.0,292091.00
2/19/2021,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,34060.0,8803850.00
2/19/2021,NETFLIX INC,NFLX,64110L106,1524.0,393462.00
2/19/2021,TWITTER INC,TWTR,90184L102,10836.0,2801177.00
2/19/2021,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,53146.0,6272175.00
2/19/2021,FACEBOOK INC-CLASS A,FB,30303M102,5124.0,658520.00
2/19/2021,TRADE DESK INC/THE -CLASS A,TTD,88339J105,28575.0,145188.00
2/19/2021,FASTLY INC - CLASS A,FSLY,31188V100,6128.0,1583651.00
2/19/2021,HUBSPOT INC,HUBS,443573100,796.0,205736.00
2/19/2021,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,13416.0,637585.00
2/19/2021,SALESFORCE.COM INC,CRM,79466L302,1684.0,435037.00
2/19/2021,ADYEN NV-UNSPON ADR,ADYEY,00783V104,7652.0,1978010.00
2/19/2021,PELOTON INTERACTIVE INC-A,PTON,70614W100,2924.0,756159.00
2/19/2021,MERCADOLIBRE INC,MELI,58733R102,956.0,51397.00
2/19/2021,ADOBE INC,ADBE,00724F101,740.0,191169.00
2/19/2021,DRAFTKINGS INC - CL A,DKNG,26142R104,9108.0,1507694.00
2/19/2021,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,1428.0,369100.00
2/19/2021,CLOUDFLARE INC - CLASS A,NET,18915M107,4028.0,1041132.00
2/19/2021,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,1220.0,315106.00
2/19/2021,OKTA INC,OKTA,679295105,1016.0,262605.00
2/19/2021,SKILLZ INC,SKLZ,83067L109,6008.0,1552290.00
2/19/2021,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,43398.0,11403474.00
2/19/2021,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,7938.0,2085812.00
2/19/2021,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,81972.0,21538984.00
2/19/2021,INCYTE CORP,INCY,45337C102,12537.0,3294418.00
2/19/2021,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,73052.0,844012.00
2/19/2021,CASTLE BIOSCIENCES INC,CSTL,14843C105,10899.0,2862973.00
2/19/2021,ACCOLADE INC,ACCD,00437E102,17577.0,4617526.00
2/19/2021,IONIS PHARMACEUTICALS INC,IONS,462222100,15786.0,4147708.00
2/19/2021,SCHRODINGER INC,SDGR,80810D103,7623.0,2001055.00
2/19/2021,BERKELEY LIGHTS INC,BLI,084310101,9927.0,2607456.00
2/19/2021,BRISTOL-MYERS SQUIBB CO,BMY,110122108,11466.0,3010675.00
2/19/2021,THERMO FISHER SCIENTIFIC INC,TMO,883556102,1341.0,351627.00
2/19/2021,CODEXIS INC,CDXS,192005106,23481.0,6169204.00
2/19/2021,SAREPTA THERAPEUTICS INC,SRPT,803607100,6975.0,1830891.00
2/19/2021,ALPHABET INC-CL A,GOOGL,02079K305,270.0,72311.00
2/19/2021,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,8433.0,2215901.00
2/19/2021,PHREESIA INC,PHR,71944F106,7191.0,1887357.00
2/19/2021,GUARDANT HEALTH INC,GH,40131M109,2952.0,775166.00
2/19/2021,ABBVIE INC,ABBV,00287Y109,2322.0,609890.00
2/19/2021,BUTTERFLY NETWORK INC,BFLY,124155102,9243.0,2428686.00
2/19/2021,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,146020.0,1965656.00
2/19/2021,908 DEVICES INC,MASS,65443P102,2421.0,634986.00
2/19/2021,REPARE THERAPEUTICS INC,RPTX,760273102,4923.0,1291585.00
2/19/2021,SURFACE ONCOLOGY INC,SURF,86877M209,15012.0,3944039.00
2/19/2021,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,4948.0,645455.00
2/19/2021,1LIFE HEALTHCARE INC,ONEM,68269G107,1143.0,298694.00
2/19/2021,HIMS & HERS HEALTH INC,HIMS,433000106,1980.0,518793.00
2/19/2021,ADYEN NV,ADYEN,BZ1HM42,518.0,58712.00
2/19/2021,YEAHKA LTD,9923,BL58D39,89600.0,10348800.00
2/19/2021,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,137200.0,15696245.00
2/19/2021,MEITUAN-CLASS B,3690,BGJW376,19600.0,2328382.00
2/19/2021,WORKDAY INC-CLASS A,WDAY,98138H101,2898.0,331415.00
2/19/2021,Z HOLDINGS CORP,4689,6084848,127400.0,14614130.00
2/19/2021,INTUIT INC,INTU,461202103,26141.0,202488.00
2/19/2021,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,11900.0,1363858.00
2/19/2021,BASE INC,4477,BKRQ8Q2,4200.0,462700.00
2/19/2021,SCHWAB (CHARLES) CORP,SCHW,808513105,8456.0,968036.00
