date,company,ticker,cusip,change,new_shares
2/19/2021,TESLA INC,TSLA,88160R101,3924.0,1014361.00
2/19/2021,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,34060.0,8803850.00
2/19/2021,SQUARE INC - A,SQ,852234103,5728.0,1480824.00
2/19/2021,TELADOC HEALTH INC,TDOC,87918A105,5184.0,1340306.00
2/19/2021,ROKU INC,ROKU,77543R102,2996.0,774373.00
2/19/2021,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3480.0,899126.00
2/19/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,828.0,214280.00
2/19/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,10244.0,2647445.00
2/19/2021,NETFLIX INC,NFLX,64110L106,1524.0,393462.00
2/19/2021,TWITTER INC,TWTR,90184L102,10836.0,2801177.00
2/19/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,2712.0,700494.00
2/19/2021,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,24264.0,6272175.00
2/19/2021,ZILLOW GROUP INC - C,Z,98954M200,4080.0,1054795.00
2/19/2021,TWILIO INC - A,TWLO,90138F102,1708.0,441534.00
2/19/2021,BAIDU INC - SPON ADR,BIDU,056752108,2084.0,538389.00
2/19/2021,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1692.0,437544.00
2/19/2021,NVIDIA CORP,NVDA,67066G104,1156.0,298993.00
2/19/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,5960.0,1540343.00
2/19/2021,FACEBOOK INC-CLASS A,FB,30303M102,2548.0,658520.00
2/19/2021,SEA LTD-ADR,SE,81141R100,2300.0,594751.00
2/19/2021,DOCUSIGN INC,DOCU,256163106,2224.0,574631.00
2/19/2021,SNAP INC - A,SNAP,83304A106,8784.0,2270829.00
2/19/2021,KE HOLDINGS INC,BEKE,482497104,7620.0,1969657.00
2/19/2021,UNITY SOFTWARE INC,U,91332U101,4292.0,1109600.00
2/19/2021,TRADE DESK INC/THE -CLASS A,TTD,88339J105,28575.0,145188.00
2/19/2021,FASTLY INC - CLASS A,FSLY,31188V100,6128.0,1583651.00
2/19/2021,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,16064.0,4152525.00
2/19/2021,HUBSPOT INC,HUBS,443573100,796.0,205736.00
2/19/2021,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,2468.0,637585.00
2/19/2021,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,1584.0,409328.00
2/19/2021,SALESFORCE.COM INC,CRM,79466L302,1684.0,435037.00
2/19/2021,ADYEN NV-UNSPON ADR,ADYEY,00783V104,7652.0,1978010.00
2/19/2021,PELOTON INTERACTIVE INC-A,PTON,70614W100,2924.0,756159.00
2/19/2021,PINTEREST INC- CLASS A,PINS,72352L106,4740.0,1224618.00
2/19/2021,JD.COM INC-ADR,JD,47215P106,3684.0,952413.00
2/19/2021,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4808.0,1242938.00
2/19/2021,MERCADOLIBRE INC,MELI,58733R102,200.0,51397.00
2/19/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,2708.0,699874.00
2/19/2021,ADOBE INC,ADBE,00724F101,740.0,191169.00
2/19/2021,DRAFTKINGS INC - CL A,DKNG,26142R104,5832.0,1507694.00
2/19/2021,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,1428.0,369100.00
2/19/2021,SYNOPSYS INC,SNPS,871607107,1244.0,321869.00
2/19/2021,NANO DIMENSION LTD - ADR,NNDM,63008G203,24088.0,6226674.00
2/19/2021,CLOUDFLARE INC - CLASS A,NET,18915M107,4028.0,1041132.00
2/19/2021,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,1220.0,315106.00
2/19/2021,APPLE INC,AAPL,037833100,2348.0,607148.00
2/19/2021,OKTA INC,OKTA,679295105,1016.0,262605.00
2/19/2021,SKILLZ INC,SKLZ,83067L109,6008.0,1552290.00
