date,company,ticker,cusip,change,new_shares
2/19/2021,TESLA INC,TSLA,88160R101,106240.0,3225943.00
2/19/2021,ROKU INC,ROKU,77543R102,45240.0,4181063.00
2/19/2021,SQUARE INC - A,SQ,852234103,57960.0,5354944.00
2/19/2021,TELADOC HEALTH INC,TDOC,87918A105,54680.0,5050555.00
2/19/2021,BAIDU INC - SPON ADR,BIDU,056752108,33040.0,3052492.00
2/19/2021,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,28560.0,2637090.00
2/19/2021,ZILLOW GROUP INC - C,Z,98954M200,57080.0,5275163.00
2/19/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,5880.0,543378.00
2/19/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,23840.0,2204350.00
2/19/2021,EXACT SCIENCES CORP,EXAS,30063P105,46240.0,4270085.00
2/19/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,68600.0,6339216.00
2/19/2021,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,15440.0,1426553.00
2/19/2021,TWILIO INC - A,TWLO,90138F102,15080.0,1394668.00
2/19/2021,DOCUSIGN INC,DOCU,256163106,22920.0,2117125.00
2/19/2021,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,121520.0,11229923.00
2/19/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,39600.0,3658644.00
2/19/2021,UNITY SOFTWARE INC,U,91332U101,235961.0,3906116.00
2/19/2021,KE HOLDINGS INC,BEKE,482497104,65520.0,6053418.00
2/19/2021,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,92540.0,4831706.00
2/19/2021,SEA LTD-ADR,SE,81141R100,15200.0,1403741.00
2/19/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,36560.0,3377714.00
2/19/2021,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,79440.0,7340297.00
2/19/2021,10X GENOMICS INC-CLASS A,TXG,88025U109,45145.0,1712784.00
2/19/2021,REGENERON PHARMACEUTICALS,REGN,75886F107,6440.0,594469.00
2/19/2021,PACCAR INC,PCAR,693718108,31160.0,2877441.00
2/19/2021,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,33680.0,3111768.00
2/19/2021,SYNOPSYS INC,SNPS,871607107,10400.0,960602.00
2/19/2021,TERADYNE INC,TER,880770102,12000.0,1107553.00
2/19/2021,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,57720.0,5332420.00
2/19/2021,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,20040.0,1850870.00
2/19/2021,SNAP INC - A,SNAP,83304A106,25400.0,2346336.00
2/19/2021,PINTEREST INC- CLASS A,PINS,72352L106,17720.0,1637634.00
2/19/2021,FATE THERAPEUTICS INC,FATE,31189P102,12760.0,1179469.00
2/19/2021,BEAM THERAPEUTICS INC,BEAM,07373V105,23792.0,557639.00
