date,company,ticker,cusip,change,new_shares
3/4/2021,SQUARE INC - A,SQ,852234103,78313.0,6183096.00
3/4/2021,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,258776.0,2811983.00
3/4/2021,BAIDU INC - SPON ADR,BIDU,056752108,32500.0,2945575.00
3/4/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,8046.0,610583.00
3/4/2021,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,9611.0,1930564.00
3/4/2021,CRISPR THERAPEUTICS AG,CRSP,H17182108,65954.0,5716923.00
3/4/2021,INVITAE CORP,NVTA,46185L103,181568.0,16439785.00
3/4/2021,EXACT SCIENCES CORP,EXAS,30063P105,63783.0,4578178.00
3/4/2021,TWILIO INC - A,TWLO,90138F102,15432.0,1375132.00
3/4/2021,UNITY SOFTWARE INC,U,91332U101,31652.0,4816363.00
3/4/2021,DOCUSIGN INC,DOCU,256163106,19789.0,2087340.00
3/4/2021,PURE STORAGE INC - CLASS A,PSTG,74624M102,392999.0,20078310.00
3/4/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,594281.0,4543708.00
3/4/2021,PROTO LABS INC,PRLB,743713109,19920.0,2928379.00
3/4/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,173409.0,1573630.00
3/4/2021,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,129182.0,11071876.00
3/4/2021,TWIST BIOSCIENCE CORP,TWST,90184D100,76481.0,2971777.00
3/4/2021,INTELLIA THERAPEUTICS INC,NTLA,45826J105,65275.0,6080702.00
3/4/2021,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,124310.0,4651711.00
3/4/2021,KE HOLDINGS INC,BEKE,482497104,58216.0,5959497.00
3/4/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,162222.0,2799360.00
3/4/2021,10X GENOMICS INC-CLASS A,TXG,88025U109,19058.0,1935913.00
3/4/2021,PAGERDUTY INC,PD,69553P100,90479.0,7112638.00
3/4/2021,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,42600.0,7237021.00
3/4/2021,2U INC,TWOU,90214J101,118050.0,7586062.00
3/4/2021,SEA LTD-ADR,SE,81141R100,25102.0,1129941.00
3/4/2021,LENDINGTREE INC,TREE UW,52603B107,18498.0,1102962.00
3/4/2021,EDITAS MEDICINE INC,EDIT,28106W103,59598.0,6267979.00
3/4/2021,PACCAR INC,PCAR,693718108,110092.0,2729899.00
3/4/2021,TWITTER INC,TWTR,90184L102,79949.0,3515952.00
3/4/2021,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,85478.0,2635886.00
3/4/2021,VERACYTE INC,VCYT,92337F107,101565.0,4559437.00
3/4/2021,SYNOPSYS INC,SNPS,871607107,14221.0,897945.00
3/4/2021,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,328995.0,6834415.00
3/4/2021,REGENERON PHARMACEUTICALS,REGN,75886F107,41350.0,430196.00
3/4/2021,MATERIALISE NV-ADR,MTLS,57667T100,79560.0,5431759.00
3/4/2021,HUYA INC-ADR,HUYA,44852D108,152539.0,6478746.00
3/4/2021,STRATASYS LTD,SSYS,M85548101,66968.0,6097746.00
3/4/2021,SERES THERAPEUTICS INC,MCRB,81750R102,96098.0,7569694.00
3/4/2021,TERADYNE INC,TER,880770102,31848.0,1091964.00
3/4/2021,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,22609.0,1824829.00
3/4/2021,CERUS CORP,CERS,157085101,223140.0,17952610.00
3/4/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,85863610.14999999,89202597.53
3/4/2021,COMPUGEN LTD,CGEN,M25722105,142737.0,9445250.00
3/4/2021,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,76855.0,4761841.00
3/4/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,29152.0,53881.00
3/4/2021,ORGANOVO HOLDINGS INC,ONVO ,68620A203,12558.0,125116.00
3/4/2021,TRIMBLE INC,TRMB,896239100,72744.0,2487998.00
3/4/2021,DEERE & CO,DE,244199105,14160.0,484290.00
3/4/2021,JD.COM INC-ADR,JD,47215P106,104655.0,1785250.00
3/4/2021,ALPHABET INC-CL C,GOOG,02079K107,1920.0,65326.00
3/4/2021,KRATOS DEFENSE & SECURITY,KTOS,50077B207,150192.0,5137394.00
3/4/2021,KOMATSU LTD -SPONS ADR,KMTUY,500458401,108960.0,3727245.00
3/4/2021,NXP SEMICONDUCTORS NV,NXPI,N6596X109,19056.0,651843.00
3/4/2021,CATERPILLAR INC,CAT,149123101,13584.0,464635.00
3/4/2021,LOCKHEED MARTIN CORP,LMT,539830109,8136.0,278598.00
3/4/2021,NVIDIA CORP,NVDA,67066G104,76427.0,163011.00
3/4/2021,TELEDYNE TECHNOLOGIES INC,TDY,879360105,6384.0,218445.00
3/4/2021,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,40008.0,1368551.00
3/4/2021,AEROVIRONMENT INC,AVAV,008073108,17328.0,592461.00
3/4/2021,MAGNA INTERNATIONAL INC,MGA,559222401,21408.0,732081.00
3/4/2021,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,21288.0,1795523.00
3/4/2021,INTUITIVE SURGICAL INC,ISRG,46120E602,2400.0,81737.00
