date,company,ticker,cusip,change,new_shares
2/22/2021,TESLA INC,TSLA,88160R101,69896.0,1084257.00
2/22/2021,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,68112.0,8871962.00
2/22/2021,SQUARE INC - A,SQ,852234103,11456.0,1492280.00
2/22/2021,TELADOC HEALTH INC,TDOC,87918A105,10368.0,1350674.00
2/22/2021,ROKU INC,ROKU,77543R102,5992.0,780365.00
2/22/2021,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,6960.0,906086.00
2/22/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,1656.0,215936.00
2/22/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,20480.0,2667925.00
2/22/2021,NETFLIX INC,NFLX,64110L106,3040.0,396502.00
2/22/2021,TWITTER INC,TWTR,90184L102,21672.0,2822849.00
2/22/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,5416.0,705910.00
2/22/2021,AGORA INC-ADR,API,00851L103,18560.0,2417222.00
2/22/2021,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,48528.0,6320703.00
2/22/2021,BAIDU INC - SPON ADR,BIDU,056752108,4168.0,542557.00
2/22/2021,TWILIO INC - A,TWLO,90138F102,3416.0,444950.00
2/22/2021,ZILLOW GROUP INC - C,Z,98954M200,8160.0,1062955.00
2/22/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,11920.0,1552263.00
2/22/2021,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,3384.0,440928.00
2/22/2021,FACEBOOK INC-CLASS A,FB,30303M102,5096.0,663616.00
2/22/2021,NVIDIA CORP,NVDA,67066G104,2312.0,301305.00
2/22/2021,KE HOLDINGS INC,BEKE,482497104,15240.0,1984897.00
2/22/2021,SNAP INC - A,SNAP,83304A106,17568.0,2288397.00
2/22/2021,DOCUSIGN INC,DOCU,256163106,4448.0,579079.00
2/22/2021,UNITY SOFTWARE INC,U,91332U101,8584.0,1118184.00
2/22/2021,TRADE DESK INC/THE -CLASS A,TTD,88339J105,1120.0,146308.00
2/22/2021,FASTLY INC - CLASS A,FSLY,31188V100,12258.0,1595909.00
2/22/2021,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,32138.0,4184663.00
2/22/2021,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,3168.0,412496.00
2/22/2021,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,4936.0,642521.00
2/22/2021,ADYEN NV-UNSPON ADR,ADYEY,00783V104,15304.0,1993314.00
2/22/2021,PINTEREST INC- CLASS A,PINS,72352L106,9482.0,1234100.00
2/22/2021,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,9616.0,1252554.00
2/22/2021,PELOTON INTERACTIVE INC-A,PTON,70614W100,5848.0,762007.00
2/22/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,5416.0,705290.00
2/22/2021,JD.COM INC-ADR,JD,47215P106,7368.0,959781.00
2/22/2021,MERCADOLIBRE INC,MELI,58733R102,400.0,51797.00
2/22/2021,DRAFTKINGS INC - CL A,DKNG,26142R104,11664.0,1519358.00
2/22/2021,ADOBE INC,ADBE,00724F101,1480.0,192649.00
2/22/2021,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,2856.0,371956.00
2/22/2021,SYNOPSYS INC,SNPS,871607107,2488.0,324357.00
2/22/2021,CLOUDFLARE INC - CLASS A,NET,18915M107,8056.0,1049188.00
2/22/2021,NANO DIMENSION LTD - ADR,NNDM,63008G203,48186.0,6274860.00
2/22/2021,APPLE INC,AAPL,037833100,4696.0,611844.00
2/22/2021,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,2440.0,317546.00
2/22/2021,OKTA INC,OKTA,679295105,2032.0,264637.00
2/22/2021,SKILLZ INC,SKLZ,83067L109,12018.0,1564308.00
2/22/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,24168642.5,36651829.28
