date,company,ticker,cusip,change,new_shares
2/24/2021,TESLA INC,TSLA,88160R101,46577.0,3528907.00
2/24/2021,ROKU INC,ROKU,77543R102,434813.0,3701647.00
2/24/2021,ZILLOW GROUP INC - C,Z,98954M200,80985.0,5035574.00
2/24/2021,CRISPR THERAPEUTICS AG,CRSP,H17182108,151433.0,5892784.00
2/24/2021,INVITAE CORP,NVTA,46185L103,424066.0,16945396.00
2/24/2021,EXACT SCIENCES CORP,EXAS,30063P105,40686.0,4197320.00
2/24/2021,TWILIO INC - A,TWLO,90138F102,24499.0,1370917.00
2/24/2021,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,23091.0,1402235.00
2/24/2021,PURE STORAGE INC - CLASS A,PSTG,74624M102,646091.0,20695860.00
2/24/2021,DOCUSIGN INC,DOCU,256163106,35188.0,2081037.00
2/24/2021,UNITY SOFTWARE INC,U,91332U101,69252.0,4344296.00
2/24/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,916654.0,5288240.00
2/24/2021,PROTO LABS INC,PRLB,743713109,53484.0,3018447.00
2/24/2021,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,332562.0,11038458.00
2/24/2021,TWIST BIOSCIENCE CORP,TWST,90184D100,232613.0,3063186.00
2/24/2021,KE HOLDINGS INC,BEKE,482497104,104865.0,5950220.00
2/24/2021,INTELLIA THERAPEUTICS INC,NTLA,45826J105,154167.0,6267737.00
2/24/2021,LENDINGTREE INC,TREE UW,52603B107,26350.0,1188410.00
2/24/2021,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,73811.0,4749365.00
2/24/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,180899.0,3320128.00
2/24/2021,PAGERDUTY INC,PD,69553P100,155980.0,7331414.00
2/24/2021,2U INC,TWOU,90214J101,183758.0,7819395.00
2/24/2021,EDITAS MEDICINE INC,EDIT,28106W103,148121.0,6460765.00
2/24/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,1429777.0,2325734.00
2/24/2021,SEA LTD-ADR,SE,81141R100,201267.0,1231015.00
2/24/2021,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,121330.0,7215175.00
2/24/2021,VERACYTE INC,VCYT,92337F107,155675.0,4699649.00
2/24/2021,MATERIALISE NV-ADR,MTLS,57667T100,131445.0,5598814.00
2/24/2021,REGENERON PHARMACEUTICALS,REGN,75886F107,127871.0,584326.00
2/24/2021,PACCAR INC,PCAR,693718108,39012.0,2828360.00
2/24/2021,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,398660.0,3058718.00
2/24/2021,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,532678.0,7044630.00
2/24/2021,SYNOPSYS INC,SNPS,871607107,100543.0,944222.00
2/24/2021,STRATASYS LTD,SSYS,M85548101,133937.0,6489952.00
2/24/2021,HUYA INC-ADR,HUYA,44852D108,188279.0,6678028.00
2/24/2021,SERES THERAPEUTICS INC,MCRB,81750R102,212843.0,7802525.00
2/24/2021,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,56619.0,1819318.00
2/24/2021,PINTEREST INC- CLASS A,PINS,72352L106,1616632.0,1609725.00
2/24/2021,FATE THERAPEUTICS INC,FATE,31189P102,120009.0,1348263.00
2/24/2021,CERUS CORP,CERS,157085101,498119.0,18504818.00
2/24/2021,COMPUGEN LTD,CGEN,M25722105,297645.0,9735773.00
2/24/2021,SNAP INC - A,SNAP,83304A106,1619258.0,1100895.00
2/24/2021,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,156916.0,4908354.00
2/24/2021,ORGANOVO HOLDINGS INC,ONVO ,68620A203,15419.0,128987.00
2/24/2021,DEERE & CO,DE,244199105,11296.0,537760.00
2/24/2021,ALPHABET INC-CL C,GOOG,02079K107,4264.0,71024.00
2/24/2021,NXP SEMICONDUCTORS NV,NXPI,N6596X109,14292.0,680427.00
2/24/2021,KOMATSU LTD -SPONS ADR,KMTUY,500458401,81730.0,3890717.00
2/24/2021,CATERPILLAR INC,CAT,149123101,10188.0,485011.00
2/24/2021,LOCKHEED MARTIN CORP,LMT,539830109,6102.0,290802.00
2/24/2021,NVIDIA CORP,NVDA,67066G104,9523.0,170163.00
2/24/2021,TELEDYNE TECHNOLOGIES INC,TDY,879360105,4788.0,228021.00
2/24/2021,NANO DIMENSION LTD - ADR,NNDM,63008G203,270345.0,7420956.00
2/24/2021,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,30006.0,1428563.00
2/24/2021,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,33328.0,1586303.00
2/24/2021,AEROVIRONMENT INC,AVAV,008073108,12996.0,618453.00
2/24/2021,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,35838.0,1705744.00
2/24/2021,MAGNA INTERNATIONAL INC,MGA,559222401,16056.0,764193.00
2/24/2021,INTUITIVE SURGICAL INC,ISRG,46120E602,1782.0,85307.00
2/24/2021,WORKHORSE GROUP INC,WKHS,98138J206,68158.0,3244517.00
2/24/2021,ANSYS INC,ANSS,03662Q105,2358.0,112350.00
2/24/2021,ROCKWELL AUTOMATION INC,ROK,773903109,18457.0,171961.00
2/24/2021,XILINX INC,XLNX,983919101,65053.0,315342.00
2/24/2021,FLIR SYSTEMS INC,FLIR,302445101,268569.0,764194.00
2/24/2021,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,407573.0,154339.00
2/24/2021,EXONE CO/THE,XONE,302104104,20548.0,978062.00
2/24/2021,AMAZON.COM INC,AMZN,023135106,13729.0,12141.00
2/24/2021,ELBIT SYSTEMS LTD,ESLT,M3760D101,5814.0,276818.00
2/24/2021,AUTODESK INC,ADSK,052769106,27984.0,106388.00
2/24/2021,APPLE INC,AAPL,037833100,684610.0,157531.00
2/24/2021,SPLUNK INC,SPLK,848637104,1419.0,1284.00
2/24/2021,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,161811.0,8701654.00
2/24/2021,NETFLIX INC,NFLX,64110L106,7239.0,388882.00
2/24/2021,FACEBOOK INC-CLASS A,FB,30303M102,85992.0,650876.00
2/24/2021,AGORA INC-ADR,API,00851L103,44093.0,2370822.00
2/24/2021,FASTLY INC - CLASS A,FSLY,31188V100,29108.0,1565275.00
2/24/2021,TRADE DESK INC/THE -CLASS A,TTD,88339J105,2660.0,143508.00
2/24/2021,ADYEN NV-UNSPON ADR,ADYEY,00783V104,36360.0,1955040.00
2/24/2021,HUBSPOT INC,HUBS,443573100,3306.0,178183.00
2/24/2021,PELOTON INTERACTIVE INC-A,PTON,70614W100,13902.0,747373.00
2/24/2021,DRAFTKINGS INC - CL A,DKNG,26142R104,29821.0,1490184.00
2/24/2021,ADOBE INC,ADBE,00724F101,3515.0,188949.00
2/24/2021,MERCADOLIBRE INC,MELI,58733R102,1436.0,50797.00
2/24/2021,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,6783.0,364816.00
2/24/2021,CLOUDFLARE INC - CLASS A,NET,18915M107,19133.0,1029048.00
2/24/2021,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,5795.0,311446.00
2/24/2021,OKTA INC,OKTA,679295105,4826.0,259557.00
2/24/2021,LENDINGCLUB CORP,LC,52603A208,94125.0,4507896.00
2/24/2021,SALESFORCE.COM INC,CRM,79466L302,104326.0,107772.00
2/24/2021,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,344120.0,11090044.00
2/24/2021,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,52920.0,2028482.00
2/24/2021,CAREDX INC,CDNA,14167L103,533943.0,5190593.00
2/24/2021,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,546480.0,20946990.00
2/24/2021,INCYTE CORP,INCY,45337C102,83580.0,3203875.00
2/24/2021,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,21420.0,820807.00
2/24/2021,CASTLE BIOSCIENCES INC,CSTL,14843C105,72660.0,2784258.00
2/24/2021,IONIS PHARMACEUTICALS INC,IONS,462222100,105240.0,4033698.00
2/24/2021,PERSONALIS INC,PSNL,71535D106,167700.0,6427592.00
2/24/2021,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,97920.0,3752925.00
2/24/2021,SCHRODINGER INC,SDGR,80810D103,45393.0,1739799.00
2/24/2021,BRISTOL-MYERS SQUIBB CO,BMY,110122108,76380.0,2927932.00
