date,company,ticker,cusip,change,new_shares
3/4/2021,ACCOLADE INC,ACCD,00437E102,63141.0,4875409.00
3/4/2021,10X GENOMICS INC-CLASS A,TXG,88025U109,70450.0,1178136.00
3/4/2021,SCHRODINGER INC,SDGR,80810D103,393726.0,2082833.00
3/4/2021,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,117908.0,2769884.00
3/4/2021,CODEXIS INC,CDXS,192005106,41823.0,5883666.00
3/4/2021,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,380848.0,4014072.00
3/4/2021,BUTTERFLY NETWORK INC,BFLY,124155102,468971.0,3713206.00
3/4/2021,1LIFE HEALTHCARE INC,ONEM,68269G107,422069.0,1112900.00
3/4/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,7106854.160000004,43741942.57
3/4/2021,908 DEVICES INC,MASS,65443P102,84682.0,982570.00
