date,company,ticker,cusip,change,new_shares
3/2/2021,TESLA INC,TSLA,88160R101,7208.0,3578428.00
3/2/2021,SQUARE INC - A,SQ,852234103,36822.0,5955071.00
3/2/2021,ROKU INC,ROKU,77543R102,24159.0,3363235.00
3/2/2021,BAIDU INC - SPON ADR,BIDU,056752108,295791.0,3247025.00
3/2/2021,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,21450.0,2842863.00
3/2/2021,ZILLOW GROUP INC - C,Z,98954M200,31296.0,5106260.00
3/2/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,4041.0,587677.00
3/2/2021,CRISPR THERAPEUTICS AG,CRSP,H17182108,63075.0,5798771.00
3/2/2021,INVITAE CORP,NVTA,46185L103,176700.0,16675110.00
3/2/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,15243.0,2493717.00
3/2/2021,EXACT SCIENCES CORP,EXAS,30063P105,9789.0,4565163.00
3/2/2021,TWILIO INC - A,TWLO,90138F102,9207.0,1390212.00
3/2/2021,DOCUSIGN INC,DOCU,256163106,13902.0,2110260.00
3/2/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,309727.0,5362535.00
3/2/2021,PURE STORAGE INC - CLASS A,PSTG,74624M102,243366.0,20365739.00
3/2/2021,PROTO LABS INC,PRLB,743713109,21914.0,2970291.00
3/2/2021,TWIST BIOSCIENCE CORP,TWST,90184D100,57300.0,3014313.00
3/2/2021,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,162112.0,11193396.00
3/2/2021,KE HOLDINGS INC,BEKE,482497104,50658.0,6033816.00
3/2/2021,INTELLIA THERAPEUTICS INC,NTLA,45826J105,64275.0,6167750.00
3/2/2021,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,94135.0,4816022.00
3/2/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,117105.0,3138993.00
3/2/2021,PAGERDUTY INC,PD,69553P100,55079.0,7214454.00
3/2/2021,LENDINGTREE INC,TREE UW,52603B107,8939.0,1169465.00
3/2/2021,2U INC,TWOU,90214J101,65794.0,7694663.00
3/2/2021,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,62292.0,7316461.00
3/2/2021,EDITAS MEDICINE INC,EDIT,28106W103,61800.0,6357704.00
3/2/2021,VERACYTE INC,VCYT,92337F107,57057.0,4624697.00
3/2/2021,SEA LTD-ADR,SE,81141R100,6537.0,1142341.00
3/2/2021,PACCAR INC,PCAR,693718108,21563.0,2868134.00
3/2/2021,TWITTER INC,TWTR,90184L102,32901.0,3554552.00
3/2/2021,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,71240.0,2798149.00
3/2/2021,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,220775.0,6932252.00
3/2/2021,MATERIALISE NV-ADR,MTLS,57667T100,51301.0,5509499.00
3/2/2021,SYNOPSYS INC,SNPS,871607107,8781.0,907801.00
3/2/2021,REGENERON PHARMACEUTICALS,REGN,75886F107,15320.0,480307.00
3/2/2021,STRATASYS LTD,SSYS,M85548101,52025.0,6185027.00
3/2/2021,HUYA INC-ADR,HUYA,44852D108,57440.0,6571487.00
3/2/2021,SERES THERAPEUTICS INC,MCRB,81750R102,88650.0,7678062.00
3/2/2021,TERADYNE INC,TER,880770102,15342.0,1103964.00
3/2/2021,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,27474.0,1844869.00
3/2/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,861279.0,1008874.00
3/2/2021,CERUS CORP,CERS,157085101,207425.0,18209592.00
3/2/2021,COMPUGEN LTD,CGEN,M25722105,123875.0,9580475.00
3/2/2021,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,65300.0,4830038.00
3/2/2021,ORGANOVO HOLDINGS INC,ONVO ,68620A203,6069.0,126936.00
3/2/2021,TRIMBLE INC,TRMB,896239100,18186.0,2554680.00
3/2/2021,DEERE & CO,DE,244199105,35242.0,528972.00
3/2/2021,JD.COM INC-ADR,JD,47215P106,14574.0,1833100.00
3/2/2021,KRATOS DEFENSE & SECURITY,KTOS,50077B207,37548.0,5275086.00
3/2/2021,ALPHABET INC-CL C,GOOG,02079K107,474.0,67080.00
3/2/2021,NXP SEMICONDUCTORS NV,NXPI,N6596X109,4764.0,669311.00
3/2/2021,KOMATSU LTD -SPONS ADR,KMTUY,500458401,27246.0,3827147.00
3/2/2021,CATERPILLAR INC,CAT,149123101,3396.0,477087.00
3/2/2021,LOCKHEED MARTIN CORP,LMT,539830109,2034.0,286056.00
3/2/2021,NVIDIA CORP,NVDA,67066G104,87617.0,167373.00
3/2/2021,TELEDYNE TECHNOLOGIES INC,TDY,879360105,1596.0,224297.00
3/2/2021,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,10002.0,1405225.00
3/2/2021,NANO DIMENSION LTD - ADR,NNDM,63008G203,70029.0,7299707.00
3/2/2021,AEROVIRONMENT INC,AVAV,008073108,4332.0,608345.00
3/2/2021,MAGNA INTERNATIONAL INC,MGA,559222401,5352.0,751705.00
3/2/2021,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,11946.0,1677866.00
3/2/2021,INTUITIVE SURGICAL INC,ISRG,46120E602,600.0,83921.00
3/2/2021,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,11106.0,1560379.00
3/2/2021,WORKHORSE GROUP INC,WKHS,98138J206,22716.0,3191503.00
3/2/2021,RAVEN INDUSTRIES INC,RAVN,754212108,8826.0,1239310.00
3/2/2021,ROCKWELL AUTOMATION INC,ROK,773903109,1098.0,154236.00
3/2/2021,ANSYS INC,ANSS,03662Q105,786.0,110516.00
3/2/2021,EXONE CO/THE,XONE,302104104,6792.0,954091.00
3/2/2021,XILINX INC,XLNX,983919101,1788.0,251481.00
3/2/2021,VUZIX CORP,VUZI,92921W300,7512.0,1055363.00
3/2/2021,AUTODESK INC,ADSK,052769106,558.0,78776.00
3/2/2021,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,10704.0,1503940.00
3/2/2021,FLIR SYSTEMS INC,FLIR,302445101,162093.0,210894.00
3/2/2021,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,25545.0,8556875.00
3/2/2021,NETFLIX INC,NFLX,64110L106,1143.0,382406.00
3/2/2021,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,3456.0,6668862.00
3/2/2021,AGORA INC-ADR,API,00851L103,120026.0,2331370.00
3/2/2021,TRADE DESK INC/THE -CLASS A,TTD,88339J105,420.0,141133.00
3/2/2021,FASTLY INC - CLASS A,FSLY,31188V100,4596.0,1539232.00
3/2/2021,DRAFTKINGS INC - CL A,DKNG,26142R104,2316.0,1465385.00
3/2/2021,HUBSPOT INC,HUBS,443573100,522.0,175225.00
3/2/2021,ADYEN NV-UNSPON ADR,ADYEY,00783V104,5739.0,1922506.00
3/2/2021,ADOBE INC,ADBE,00724F101,555.0,185804.00
3/2/2021,PELOTON INTERACTIVE INC-A,PTON,70614W100,2196.0,734931.00
3/2/2021,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,1071.0,358747.00
3/2/2021,CLOUDFLARE INC - CLASS A,NET,18915M107,3021.0,1011929.00
3/2/2021,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,915.0,306261.00
3/2/2021,OKTA INC,OKTA,679295105,762.0,255239.00
3/2/2021,SKILLZ INC,SKLZ,83067L109,5382.0,1802563.00
3/2/2021,LENDINGCLUB CORP,LC,52603A208,13167.0,4410840.00
3/2/2021,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,631538.0,10476356.00
3/2/2021,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,22050.0,1991438.00
3/2/2021,CAREDX INC,CDNA,14167L103,51975.0,4694072.00
3/2/2021,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,227675.0,20564454.00
3/2/2021,INCYTE CORP,INCY,45337C102,34825.0,3145374.00
3/2/2021,IONIS PHARMACEUTICALS INC,IONS,462222100,43850.0,3960030.00
3/2/2021,CASTLE BIOSCIENCES INC,CSTL,14843C105,30275.0,2733396.00
3/2/2021,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,40475.0,3655005.00
3/2/2021,PERSONALIS INC,PSNL,71535D106,69325.0,6259892.00
3/2/2021,SCHRODINGER INC,SDGR,80810D103,18925.0,1708032.00
3/2/2021,BRISTOL-MYERS SQUIBB CO,BMY,110122108,227115.0,2551550.00
3/2/2021,CODEXIS INC,CDXS,192005106,48234.0,5890077.00
3/2/2021,CELLECTIS - ADR,CLLS,15117K103,62075.0,5606381.00
3/2/2021,THERMO FISHER SCIENTIFIC INC,TMO,883556102,2800.0,252286.00
3/2/2021,GUARDANT HEALTH INC,GH,40131M109,8200.0,740070.00
3/2/2021,PHREESIA INC,PHR,71944F106,19950.0,1801991.00
3/2/2021,ALPHABET INC-CL A,GOOGL,02079K305,10975.0,53247.00
3/2/2021,ABBVIE INC,ABBV,00287Y109,6450.0,582284.00
3/2/2021,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,88650.0,8005478.00
3/2/2021,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,18225.0,1644567.00
3/2/2021,SURFACE ONCOLOGY INC,SURF,86877M209,45050.0,4069356.00
3/2/2021,EVOGENE LTD,EVGN,M4119S104,47150.0,4256807.00
3/2/2021,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,39320.0,3540213.00
