date,company,ticker,cusip,change,new_shares
2/16/2021,SQUARE INC - A,SQ,852234103,49230.0,1600797.00
2/16/2021,ZILLOW GROUP INC - C,Z,98954M200,37710.0,1226443.00
2/16/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,22950.0,746200.00
2/16/2021,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,35190.0,1143103.00
2/16/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,60840.0,1977021.00
2/16/2021,PINTEREST INC- CLASS A,PINS,72352L106,60030.0,1950959.00
2/16/2021,SEA LTD-ADR,SE,81141R100,17685.0,574042.00
2/16/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,3240.0,105597.00
2/16/2021,MERCADOLIBRE INC,MELI,58733R102,2430.0,79211.00
2/16/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,41715.0,1355405.00
2/16/2021,ADYEN NV,ADYEN,BZ1HM42,1665.0,53495.00
2/16/2021,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,441000.0,14314445.00
2/16/2021,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,14175.0,460128.00
2/16/2021,MEITUAN-CLASS B,3690,BGJW376,63000.0,2130982.00
2/16/2021,YEAHKA LTD,9923,BL58D39,288000.0,9446400.00
2/16/2021,TWILIO INC - A,TWLO,90138F102,8415.0,272981.00
2/16/2021,SNAP INC - A,SNAP,83304A106,53640.0,1744069.00
2/16/2021,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,92880.0,3018337.00
2/16/2021,DOCUSIGN INC,DOCU,256163106,11385.0,369875.00
2/16/2021,AMAZON.COM INC,AMZN,023135106,900.0,29386.00
2/16/2021,Z HOLDINGS CORP,4689,6084848,409500.0,13331030.00
2/16/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,1814193.8399999887,82758296.88
2/16/2021,APPLE INC,AAPL,037833100,19215.0,623942.00
2/16/2021,WORKDAY INC-CLASS A,WDAY,98138H101,9315.0,302228.00
2/16/2021,FACEBOOK INC-CLASS A,FB,30303M102,8280.0,269062.00
2/16/2021,SPLUNK INC,SPLK,848637104,12465.0,405310.00
2/16/2021,INTUIT INC,INTU,461202103,4995.0,162250.00
2/16/2021,TELADOC HEALTH INC,TDOC,87918A105,6930.0,225763.00
2/16/2021,JD.COM INC-ADR,JD,47215P106,19170.0,622669.00
2/16/2021,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,38295.0,1243783.00
2/16/2021,BASE INC,4477,BKRQ8Q2,13500.0,420400.00
2/16/2021,SCHWAB (CHARLES) CORP,SCHW,808513105,27180.0,882872.00
2/16/2021,KE HOLDINGS INC,BEKE,482497104,24120.0,784348.00
2/16/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,11250.0,365345.00
2/16/2021,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,12195.0,395905.00
2/16/2021,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,85500.0,2789100.00
2/16/2021,PINDUODUO INC-ADR,PDD,722304102,6975.0,226435.00
2/16/2021,NVIDIA CORP,NVDA,67066G104,2250.0,73200.00
2/16/2021,HDFC BANK LTD-ADR,HDB,40415F101,15570.0,505335.00
2/16/2021,DISCOVERY LTD,DSY,6177878,129465.0,4208695.00
2/16/2021,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,13500.0,411363.00
2/16/2021,VERISK ANALYTICS INC,VRSK,92345Y106,4320.0,140648.00
2/16/2021,BILL.COM HOLDINGS INC,BILL,090043100,3960.0,128995.00
2/16/2021,DRAFTKINGS INC - CL A,DKNG,26142R104,10530.0,341834.00
2/16/2021,MARKETAXESS HOLDINGS INC,MKTX,57060D108,945.0,30663.00
2/16/2021,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,2340.0,76063.00
